timestamp_hour,traffic_density,noise_level,pedestrian_count,emergency_vehicle_siren
6,95.0,110.0,800.0,0.0
19,95.0,110.0,800.0,0.0
14,95.0,110.0,800.0,0.0
10,95.0,110.0,800.0,0.0
7,95.0,110.0,800.0,0.0
20,95.0,110.0,800.0,0.0
6,95.0,110.0,800.0,0.0
18,95.0,110.0,800.0,0.0
22,95.0,110.0,800.0,0.0
10,95.0,110.0,800.0,0.0
10,95.0,110.0,800.0,0.0
23,48.3725316715473,72.77926829238166,229.9797056640747,0.0
20,42.70350850921459,57.38972746753205,174.6438469971705,0.0
3,53.1139739192858,61.349847208196884,188.1822631455502,0.0
7,63.27485700779998,64.12570396644122,140.60435956789675,0.0
23,43.03205377032548,40.70315403685842,182.3491971637219,0.0
2,40.66644252640582,53.494151584431435,148.17120418218514,0.0
21,44.667670386254606,70.43545909286553,265.65342577943574,0.0
20,64.28016640770042,68.67765024170889,202.5267907797003,0.0
1,71.78825371193557,62.830322053952166,208.52486175202154,0.0
23,55.43020867913706,46.50536428574476,188.74267363249893,0.0
11,58.71971201053586,65.8550346085858,209.87894610257038,0.0
5,40.55448714102331,67.13399590205445,323.24388179288417,0.0
1,63.15131974928488,60.47017213123745,184.99298578037542,0.0
20,58.27605515697611,72.23170950591458,167.47934826450032,0.0
0,39.34808063108774,53.16568209869877,226.48465664527214,0.0
11,23.18492582102327,54.901424225000255,73.7140683198756,0.0
21,31.691448435772184,35.15388420914185,203.19783934554664,0.0
11,39.961959077281804,69.19827510147664,181.41435483535497,0.0
16,67.42905976620162,63.13861963470134,150.38433669819528,0.0
9,73.29289663758988,43.18179674866771,225.387883515575,0.0
15,43.40723186788584,42.414010000058525,202.69942092228965,0.0
14,43.881269708430565,51.27369372628989,109.87955462528915,0.0
14,53.924345839587,67.93657941980354,167.67352394037812,0.0
18,50.18219763609838,56.996395119113714,55.58643974036377,0.0
11,63.96401125961118,51.95213083339675,214.66346570667514,0.0
22,42.15217859619335,49.938841069165036,214.16497092200785,0.0
19,64.23714481671497,49.49088042171813,160.33590530831634,0.0
2,46.411628031953676,40.6632169889244,227.00563558415632,0.0
4,62.809620666017835,47.926041683536255,135.87506894392388,0.0
18,45.93439306567186,49.29421920322832,151.67414870325035,0.0
6,40.80357975637433,66.82623236457147,220.85952321912822,0.0
20,78.68476459759955,58.34276946853385,165.56666225185285,0.0
8,65.97840623820377,51.74415156982539,196.86715218987777,0.0
6,23.119323497971777,83.09722755406187,171.81754862868286,0.0
17,43.298397323151384,53.36103086453334,179.45344218504079,0.0
3,68.07384382667861,71.67102914383636,181.63878920225036,0.0
13,32.05009296179717,76.21108557787716,164.66216213909112,0.0
17,61.560174942846665,44.30039662342657,215.1224857180062,0.0
8,60.005841552046874,60.73962964073568,168.60357566230255,0.0
20,5.0,130.0,200.7843356897801,0.0
1,5.0,130.0,163.56341593127985,0.0
19,5.0,130.0,123.28506868077707,0.0
14,5.0,130.0,245.62176246295832,0.0
6,5.0,130.0,224.9763492547704,0.0
11,5.0,130.0,314.4341034398836,0.0
7,59.20762012213137,56.26600731623431,147.80135800008708,0.0
14,70.36821182149983,48.26429792987875,189.55197563339848,0.0
2,43.5004488964616,67.95906504847474,193.57462595720972,0.0
13,53.057340912912004,70.48530938507601,249.46847191410657,0.0
16,58.386638039217914,63.436185895352175,174.64460529336958,0.0
3,63.08812387145719,56.23447348977734,141.4479072912073,0.0
17,67.31531507613386,52.947892636702186,260.3904654230501,0.0
7,42.83927404137019,52.963799370735536,184.1674985369386,0.0
3,40.03658835043366,83.57376365032708,243.93217548630216,0.0
1,70.40167049372258,69.37838301566644,238.10992003961056,0.0
5,19.443860975417916,51.598899214166615,198.505476304885,0.0
21,73.55048420814009,61.646978274371406,191.2843147482626,0.0
9,45.46513636885538,56.37464974900637,180.42175968350978,0.0
3,49.93155756514555,65.8380037615629,199.24034356150054,0.0
21,39.76486098319769,65.43499102789342,243.15501130853156,0.0
17,49.277067716962804,70.83609653905471,160.17799094702102,0.0
11,69.06707338971373,51.49443541337804,205.442281510456,0.0
1,61.5629465219606,61.047352986381306,144.06842859005963,0.0
9,57.39029725700608,42.51453015042473,150.29468834789037,0.0
3,51.333095091976155,47.426596995711556,198.45305014221879,0.0
13,28.315850412918763,68.84100836559179,101.99209958530841,0.0
15,37.337946297233906,50.49316208594673,303.0279308308026,0.0
14,44.85198145053248,51.590912019521454,140.3470022544882,0.0
7,56.865146816432585,59.91721925449951,197.99557436717234,0.0
13,51.04478996778319,66.9476103084654,258.41088609084323,0.0
22,64.75256459537698,49.39173204165904,156.85473306247508,0.0
7,57.10441081591347,25.19191171239916,84.86515052276418,0.0
20,50.81525866907857,51.29776757856489,177.7527119937664,0.0
15,84.13641946350805,72.05628077952838,156.25898099619405,0.0
12,56.09340027574893,63.431350510168734,86.18132457039988,0.0
17,43.52086697587441,73.23874803787213,214.24449462860994,0.0
14,77.89950509730394,48.681838578673045,210.35469311164758,0.0
20,68.00617322620097,43.60603732335944,257.1163227269176,0.0
23,77.24131685365722,64.6254855264754,143.95888172398065,0.0
12,48.336020965557346,62.40022737685046,120.04317567764936,0.0
8,64.64463689721654,63.05554320377259,179.6638458476708,0.0
14,28.207258113914587,69.32996642650568,195.58286704954526,0.0
12,61.760096163712525,64.2168492391226,246.0674801493248,0.0
0,47.63414062618845,64.05617593140379,270.52840025025796,0.0
6,29.674130667231015,67.1500701380114,260.72395669536735,0.0
8,65.48900606026965,65.02416632187027,213.82718334463334,0.0
23,22.848030125059758,68.57445931717406,239.9749626752074,0.0
0,21.309402244036715,70.08520824778581,167.9753282615408,0.0
11,55.43714688207953,75.31688801240915,208.41975962376233,0.0
7,10.0,53.50808675096321,140.43549303560968,1.0
23,10.0,64.80562107410748,203.13426984434366,1.0
10,10.0,56.29676631402703,204.43233486990061,1.0
18,10.0,51.66441012720733,286.1064302842485,1.0
16,10.0,53.104596789196336,188.55085692548766,1.0
7,10.0,64.94955517561526,204.50214188266432,1.0
2,48.8958332631214,64.18252554786001,211.84807078560215,0.0
2,45.76668216519184,64.00412029238437,177.25898420557735,0.0
0,54.43216286634775,57.74286352430667,159.87536333941765,0.0
4,33.53981197150013,60.034147511784106,264.9405662423526,0.0
9,55.1138329783843,68.1775269587605,150.9541278519851,0.0
6,48.7037973975258,45.106069403506936,133.60409641563635,0.0
8,54.13452736831111,60.24642098428584,234.01326896477403,0.0
6,54.18084552455991,60.899561481267895,257.8907421012005,0.0
8,13.216030980264001,67.5330426907765,177.42951711996804,0.0
7,36.48059272002998,46.49751588057175,178.197325617506,0.0
11,48.37057003866717,74.95133745517411,214.12717630533965,0.0
1,49.16772562553489,62.1363042442851,164.60736616284083,0.0
0,53.89083963499541,62.665805466949365,160.91437396940157,0.0
15,54.53522435497464,55.986202426677735,243.9796293993183,0.0
22,72.74349984400844,65.38022354796844,230.35655503918093,0.0
22,54.68687721646921,60.47954050283106,265.5579443159053,0.0
